Data,Time,Resource_Name,Header,Text,Comments_Count,Views,Rating,Count_Positive_Reactions,Count_Negative_Reactions,Reposts,Comment_Text,Type,Garbage,Healthcare,Housing_and_Public_Utilities,Education,Infrastructure,Culture,Environmental_Conditions,Social_Security,Politics,Safety,Availability_of_Goods_and_Services,Official_Statements,Tourism,Facts,Positive,Negative,Neutral
2022-01-03,15:52:00,www.news29.ru,Заболеваемость ковидом в Архангельской области вернулась к показателям конца июня,3 января в Поморье выявлен 171 новый заболевших коронавирусной инфекцией. Последний раз менее 180 случаев заражения в регионе фиксировали 24 июня 2021 года (143 заболевших). ,0,,,0,5,,,Пост,,,,,,,,,,,,,,,,,
2022-01-03,15:28:00,www.news29.ru,Четыре человека погибли при пожарах в первые дни нового года в Поморье,"2 января произошли три пожара, которые унесли жизни четырех человек. Возгорания произошли в Холмогорском и Ленском районах, а также в Архангельске. ",0,,,3,3,,,Пост,,,,,,,,,,,,,,,,,
2022-01-03,14:20:00,www.news29.ru,Ушел из жизни депутат Архгордумы и известный дорожник Сергей Малиновский,"3 января на 60-м году жизни скончался депутат Архангельской городской Думы, генеральный директор дорожной строительной компании «Ремикс» Сергей Малиновский. ",0,,,2169,6,,,Пост,,,,,,,,,,,,,,,,,
2022-01-03,14:02:00,www.news29.ru,Группа Аквилон завершила строительство ЖК «Clever» в Северодвинске,"В конце прошлого года обе очереди жилого комплекса на пр. Беломорский были введены в эксплуатацию. Собственники квартир в 1-й очереди получают ключи, 2-я очередь готовится к передаче новоселам.",0,,,3,3,,,Пост,,,,,,,,,,,,,,,,,
2022-01-03,13:57:00,www.news29.ru,Группа Аквилон: В Новом Году – скидки до 500 тыс. рублей!*,Группа Аквилон поздравляет северян с наступившим новым годом и объявляет о новых скидках при покупке квартир в новостройках.,0,,,3,3,,,Пост,,,,,,,,,,,,,,,,,
2022-01-04,19:33:00,www.news29.ru,Архангельск встречает туристов ледовым недостроем и пустыми пряничными домиками ,"В эти дни в столицу Поморья приехало много туристов. Организованные группы москвичей и петербуржцев были замечены на Чумбаровке. Однако появившиеся здесь торговые павильоны пустуют, гости бы и рады потратить деньги, да негде.",1,,,14,56,,,Пост,,,,,,,,,,,,,,,,,
2022-01-04,18:30:00,www.news29.ru,В районах Архангельской области ночью 5 января температура может опустится до -40°,Холодную ночь обещают синоптики Севгидромета жителям Архангельской области. В отдельных районах при прояснениях столбики термометров опустятся до -35° и даже -40°. Днем же крепких морозов не ожидается. ,0,,,2,1,,,Пост,,,,,,,,,,,,,,,,,
2022-01-04,15:06:00,www.news29.ru,В начале января в Поморье зафиксирован резкий спад регистрации новых случаев ковида,"Как и в прошлом году, в новогодние праздники в Архангельской области резко снизилось число новых случаев ковида. 4 января в регионе зафиксировали 160 новых заболевших, аналогичные показатели в регионе были в конце июня 2021 года. ",0,,,2,1,,,Пост,,,,,,,,,,,,,,,,,
2022-01-04,14:39:00,www.news29.ru,Представляющая Поморье Наталья Непряева выиграла общий зачет «Тур де ски»,"Наталья Непряева стала первой российской лыжницей, выигравшей общий зачет ""Тур де Ски"". В заключительной гонке она финишировала четвертой, что позволило ей сохранить лидерство.",0,,,3,1,,,Пост,,,,,,,,,,,,,,,,,
2022-01-04,13:27:00,www.news29.ru,Мечты более 100 ребят из детских домов в Поморье исполнились накануне Нового года,"В конце декабря представители Благотворительного фонда Владимира Крупчака и Группы компаний «Титан» отправились в несколько детских домов в Архангельской области, чтобы вручить детские подарки, а также бытовую и цифровую технику. ",0,,,3,0,,,Пост,,,,,,,,,,,,,,,,,
2022-01-05,20:59:00,www.news29.ru,Что смотреть всей семьей на праздники?,"Новогодние праздники - один из редких моментов, когда можно отложить заботы и всей семьей провести время за просмотром сказочных историй.",0,,,0,11,,,Пост,,,,,,,,,,,,,,,,,
2022-01-05,18:46:00,www.news29.ru,Открытие скейт-парка в архангельском Доме молодежи пройдет после новогодних каникул,Завершается создание крытого скейт-парка на цокольном этаже в Доме молодежи. Открытие нового пространства запланировано на 19 января.,0,,,2,1,,,Пост,,,,,,,,,,,,,,,,,
2022-01-05,18:33:00,www.news29.ru,Вандализм или шалость: на памятном баннере в Архангельске появились снежные надписи,Огромный баннер у входа в Петровский парк юные горожане превратили в холст для рисования. На занесенной снегом поверхности появились десятки надписей. Пользователи соцсетей разошлись в оценке поведения подростков. ,0,,,677,3,,,Пост,,,,,,,,,,,,,,,,,
2022-01-05,15:56:00,www.news29.ru,В Поморье вторые сутки подряд выявляют 160 новых заболевших коронавирусом,Заболеваемость ковидом в новогодние праздники в Архангельской области снизилась до показателей конца июня 2021 года. ,0,,,0,0,,,Пост,,,,,,,,,,,,,,,,,
2022-01-05,15:36:00,www.news29.ru,На ЖК «Familia» близятся к завершению общестроительные работы,"Новый жилой комплекс находится в самом центре Архангельска, на пересечении пр. Новгородский и ул. Логинова, в тихом уютном районе, с развитой социальной инфраструктурой.",0,,,2,2,,,Пост,,,,,,,,,,,,,,,,,
2022-01-05,12:47:00,www.news29.ru,На 1-й очереди ЖК «АКВИЛONLINE» завершается устройство свайного поля,"ЖК «АКВИЛONLINE» строится Группой Аквилон в Северодвинске, в квартале, ограниченном ул. Железнодорожная - ул. Первомайская - пр. Беломорский.",0,,,3,3,,,Пост,,,,,,,,,,,,,,,,,
2022-01-06,19:09:00,www.news29.ru,Водитель «Гранты» погиб при столкновении с «Тойотой» в Холмогорском районе,"Смертельная авария произошла днем 6 января близ поселка Луковецкий. Молодой водитель «Лады» выехал на «встречку», где столкнулся с кроссовером. От полученных травм шофер легковушки скончался. ",0,,,5,9,,,Пост,,,,,,,,,,,,,,,,,
2022-01-06,17:20:00,www.news29.ru,Архангельские огнеборцы рассказали подробности трагического пожара с гибелью детей,"Двое малолетних детей погибли при пожаре в деревянной двухэтажке. Искать малышей пожарным наощупь голыми руками, квартира была сильно захламлена. Реанимационные мероприятия успеха не принесли, дети задохнулись в дыму. ",0,,,3,13,,,Пост,,,,,,,,,,,,,,,,,
2022-01-06,16:46:00,www.news29.ru,Погибшие при пожаре в архангельской «деревяшке» дети были в квартире без родителей,"Мать оставила двух спящих малолетних детей одних в квартире и ушла. В это время начался пожар, малыши задохнулись в дыму. По факту причинения смерти по неосторожности возбуждено уголовное дело. ",0,,,1,3,,,Пост,,,,,,,,,,,,,,,,,
2022-01-06,16:30:00,www.news29.ru,Ночью 7 января во всех храмах Архангельской области пройдут рождественские службы,Русская православная церковь 6 января отмечает Рождественский сочельник - канун Рождества Христова. Сочельник - последний день многодневного Рождественского поста.,0,,,2,240,,,Пост,,,,,,,,,,,,,,,,,
2022-01-06,16:07:00,www.news29.ru,За два месяца суточная заболеваемость ковидом в Поморье упала с 474 до 159 случаев,Два месяца назад в Архангельской области был зафиксирован максимальный прирост новых заболевших ковидом – 474 человека. 6 января в регионе выявили 159 новых случаев инфицирования. ,0,,,1,1,,,Пост,,,,,,,,,,,,,,,,,
2022-01-06,15:42:00,www.news29.ru,Пожар на окраине Архангельска унес жизни двух маленьких детей,"Трехлетний мальчик и девочка, которой исполнился один годик, погибли при пожаре в двухэтажном деревянном доме в Маймаксанском округе. По данному факту прокуратура проводит проверку. ",0,,,1,1,,,Пост,,,,,,,,,,,,,,,,,
2022-01-07,16:50:00,www.news29.ru,Архангельский «Водник» возглавил турнирную таблицу чемпионата России ,"Свой первый матч в новом году в рамках чемпионата России «Водник» проводил в Мурманске, где встречался с местным «Мурманом». Победа в этом матче и потеря очков московским «Динамо» позволила «желто-зеленым» выбиться в лидеры.",1,,,19,4,,,Пост,,,,,,,,,,,,,,,,,
2022-01-07,16:31:00,www.news29.ru,Оперштаб продолжает фиксировать снижение суточной заболеваемости ковидом в Поморье,7 января в Архангельской области коронавирус подтвержден у 153 жителей. Ранее аналогичные показатели фиксировались ещё в конце июня 2021 года. ,2,,,0,0,,,Пост,,,,,,,,,,,,,,,,,
2022-01-07,16:45:00,www.news29.ru,Краснофлотский мост в Архангельске закроют для проезда машин в ночь с 7 на 8 января,Временное перекрытие движения связано с ремонтными работами и оценкой технического состояния разводной части сооружения. Ограничения будут действовать два часа.,0,,,0,0,,,Пост,,,,,,,,,,,,,,,,,
2022-01-07,16:17:00,www.news29.ru,На 1-й очереди ЖК «АКВИЛОН РEKA» приступили к монтажу лифтов,"Новый жилой микрорайон возводится Группой Аквилон в историческом районе Архангельска – Соломбале, на берегу реки Кузнечиха.",0,,,4,2,,,Пост,,,,,,,,,,,,,,,,,
2022-01-07,15:59:00,www.news29.ru,Жилищная премьера года: ГдеНовостройки.ру представляет ЖК «Онегин» в Северодвинске,Речь идет о компактной новостройке «комфорт-класса» в исторической части города корабелов. Инициатором проекта выступила архангельская компания «Прогресс-Строй». Это ее первый объект в Северодвинске.,0,,,2,1,,,Пост,,,,,,,,,,,,,,,,,
2022-01-08,19:58:00,www.news29.ru,Жители Хабарки встревожены слухами о закрытии пункта скорой медпомощи на острове,Слухи о закрытии пункта скорой медицинской помощи на Хабарке появились ещё в конце декабря. Власти ситуацию пока никак не комментируют. Тем временем жители собирают подписи под обращением к президенту России Владимиру Путину. ,1,,,2,3,,,Пост,,,,,,,,,,,,,,,,,
2022-01-08,19:29:00,www.news29.ru,"Новорожденные в Поморье теперь получают подарки: смотрим, что входит в набор","С 1 января 2022 года в Архангельской области появилась новая мера социальной поддержки – «Подарок новорожденному». Специальные наборы будут получать все семьи, где на свет появился малыш. ",0,,,5,4,,,Пост,,,,,,,,,,,,,,,,,
2022-01-08,15:17:00,www.news29.ru,В сети появилось видео смертельного ДТП на трассе в Архангельской области,"Водитель «Гранты» на повороте не справился с управлением, машину занесло и произошло столкновение с кроссовером. Мужчина погиб на месте. ",0,,,10,7,,,Пост,,,,,,,,,,,,,,,,,
2022-01-08,15:04:00,www.news29.ru,Дворняга Нюша едва не попалась в волчью ловушку под Северодвинском,"Инцидент произошел в СНТ близ Северодвинска. Камера наблюдения зафиксировала, как пара волков заманивает собаку в лес. К счастью, домашний питомец не повелся на уловку диких зверей и потому уцелел. ",3,,,13,3,,,Пост,,,,,,,,,,,,,,,,,
2022-01-08,15:03:00,www.news29.ru,В Архангельской области выявили пять завозных случаев ковида с «индийскими корнями»,"В оперштабе время от времени продолжают фиксировать завозные случаи коронавируса в Поморье. На этот раз COVID-19 подтвержден сразу у пяти жителей Индии, приехавших в Архангельскую область. ",0,,,1,0,,,Пост,,,,,,,,,,,,,,,,,
2022-01-09,16:04:00,www.news29.ru,В новогодние праздники суточная заболеваемость ковидом в Поморье упала на треть,"Если 31 декабря в Архангельской области выявили 225 заболевших коронавирусом, то в последний день новогодних каникул, 9 января, COVID-19 был подтвержден у 148 человек. Падение суточной заболеваемости составило около 35%.",0,,,0,0,,,Пост,,,,,,,,,,,,,,,,,
2022-01-09,15:32:00,www.news29.ru,От фольклора до джаза: музыкальной истории Архангельска посвятили выставку,"Выставка, посвящённая музыкальной жизни города в ХХ и ХХI веке, открылась перед Новым годом в краеведческом музее. В дни каникул здесь была организована специальная программа, включающая экскурсии и лекции от кураторов проекта.",0,,,2,2,,,Пост,,,,,,,,,,,,,,,,,
2022-01-09,14:43:00,www.news29.ru,«Королевство волшебных огней» будет радовать архангелогородцев еще месяц,"Если во время новогодних каникул кто-то еще не успел посетить фестиваль фонарей в Петровском парке, сделать это можно будет до 10 февраля. Окунуться в сказочную атмосферу горожане могут каждый день с 15 до 22 часов.",0,,,2,0,,,Пост,,,,,,,,,,,,,,,,,
2022-01-09,14:24:00,www.news29.ru,Более десяти человек пострадали в двух ДТП на трассе М8 в Архангельской области,Обе аварии произошли в Холмогорском районе с разницей в сутки. 7 января на 1103-м километре трассы столкнулись 2 кроссовера. На следующий день примерно там же в ДТП угодили внедорожник и микроавтобус. 11 человек госпитализированы.,0,,,4,4,,,Пост,,,,,,,,,,,,,,,,,
2022-01-10,18:34:00,www.news29.ru,Политологи упрекнули архангельского губернатора в информационной «закрытости»,"По итогам рейтинга информационной открытости и работы с населением среди глав субъектов Северо-Запада, составленного федеральным изданием совместно с политологами, Александр Цыбульский занял третье место с конца.",3,,,16,4,,,Пост,,,,,,,,,,,,,,,,,
2022-01-10,16:34:00,www.news29.ru,В Плесецке студент 6 января попал в ситуацию из американской рождественской комедии,"Вечером в Рождественский сочельник молодой человек оказался заперт в плесецком торговом центре. Однако грабить магазин, как в комедии «Один дома», парень не намеревался. Из заточения его освободили прибывшие полицейские. ",0,,,2,0,,,Пост,,,,,,,,,,,,,,,,,
2022-01-10,16:02:00,www.news29.ru,Ситуацию с временным закрытием пункта «скорой» на Хабарке прокомментировали в КПРФ ,Первый секретарь Архангельского обкома КПРФ Александр Гревцов назвал закрытие пункта скорой помощи на острове Хабарка очередным этапом губительной оптимизации системы здравоохранения.,0,,,4,2,,,Пост,,,,,,,,,,,,,,,,,
2022-01-10,15:23:00,www.news29.ru,В Архангельской области продолжается снижение заболеваемости ковидом,10 января в Поморье выявили 137 заболевших коронавирусом. Последний раз менее 140 случаев инфекции за сутки в регионе фиксировали в конце июня 2021 года - 23 июня положительным тест оказался у 131-го человека.,0,,,0,0,,,Пост,,,,,,,,,,,,,,,,,
2022-01-10,14:27:00,www.news29.ru,«Экоинтегратор» не заметил мусорного коллапса перед Новым годом в Архангельске,"Перед самым Новым годом архангелогородцы стали массово жаловаться на переполненные контейнерные площадки. Однако регоператор считает, что ему удалось избежать мусорных завалов, для этого пришлось продлить работу перевозчиков. ",0,,,5,4,,,Пост,,,,,,,,,,,,,,,,,
2022-01-10,15:45:00,www.news29.ru,В архангельских многофункциональных центрах снова появятся «живые очереди»,С 10 января офисы МФЦ в Поморье возобновляют прием заявителей в порядке «живой очереди». При этом сохраняется возможность предварительной записи для подачи документов о предоставлении государственных и муниципальных услуг.,0,,,0,0,,,Пост,,,,,,,,,,,,,,,,,
2022-01-10,14:05:00,www.news29.ru,Жители Хабарки возмущены очередной оптимизацией системы здравоохранения на острове,"На острове Хабарка после новогодних каникул закрылся пункт скорой помощи. Но лишь на зимнее время, как уточнили власти. Однако местные жители уже не верят чиновникам, год от года ситуация в сфере здравоохранения здесь ухудшается.",0,,,1,209,,,Пост,,,,,,,,,,,,,,,,,
2022-01-10,13:06:00,www.news29.ru,В новогодние праздники в Поморье при пожарах погибли 8 человек,"За 10 дней новогодних каникул в Архангельской области произошло 38 пожаров, в которых погибли 8 человек. ",0,,,0,0,,,Пост,,,,,,,,,,,,,,,,,
2022-01-10,11:50:00,www.news29.ru,Пункт скорой помощи на Хабарке закроют только на зимнее время,"В Минздраве Поморья опровергли слухи о закрытии пункта скорой помощи на острове Хабарка. Оказалось, что «скорая» не будет функционировать только в зимнее время. В этот период неотложную помощь будут оказывать медики с Бревенника.",0,,,1,6,,,Пост,,,,,,,,,,,,,,,,,
2022-01-10,11:00:00,www.news29.ru,В 2022 году начнется реконструкция взлетно-посадочной полосы аэропорта Архангельска,За счет средств федерального бюджета власти Архангельской области планируют реконструировать взлетно-посадочную полосу аэропорта имени Федора Абрамова. ,0,,,0,0,,,Пост,,,,,,,,,,,,,,,,,
2022-01-10,10:13:00,www.news29.ru,Двое архангелогородцев погибли от отравления угарным газом в бане,Тела двух мужчин были обнаружены вечером 5 января в бане на окраине Архангельска. По данному факту проводится доследственная проверка. ,0,,,0,1,,,Пост,,,,,,,,,,,,,,,,,
2022-01-10,10:13:00,www.news29.ru,Группа Аквилон приглашает на первую в новом году «Экскурсию по новостройкам»,15 января Группа Аквилон приглашает жителей Архангельска и Северодвинска первую в новом году Экскурсию по новостройкам. Всем участникам предоставляются специальные скидки до 550 тыс. рублей*.,0,,,2,2,,,Пост,,,,,,,,,,,,,,,,,
2022-01-10,9:31:00,www.news29.ru,В Архангельске спор двух рецидивистов о жизни в колонии закончился убийством,Тело ранее судимого 56-летнего мужчины было обнаружено утром 8 января в квартире дома в посёлке 29-го Лесозавода. Под подозрение попал также отбывавший наказание в колонии в том числе за убийство его 39-летний знакомый. ,0,,,0,0,,,Пост,,,,,,,,,,,,,,,,,
2022-01-11,16:42:00,www.news29.ru,В Поморье впервые с начала года отмечено увеличение новых случаев COVID-19,"11 января в Архангельской области выявили 145 новых заболевших коронавирусом, что на 8 больше, чем накануне. Увеличение произошло впервые с Нового года. ",0,,,1,0,,,Пост,,,,,,,,,,,,,,,,,
2022-01-11,17:27:00,www.news29.ru,Сразу девять воспитанников архангельского хоккея вошли в состав сборных России,"«Водник» и его дубль делегировали в обе сборные большую группу игроков и тренеров. Национальную команду будут представлять четверо «основных» хоккеистов и трое «дублеров», попали в списки и двое наставников «желто-зеленых».",0,,,2,1,,,Пост,,,,,,,,,,,,,,,,,
2022-01-11,15:42:00,www.news29.ru,В Архангельске сотрудник ДПС прострелил ногу неадекватному мужчине с ножом,"Инцидент произошел ночью 11 января на перекрестке в центре города. Мужчина вел себя неадекватно и размахивал ножом. Бросить оружие он отказался, поэтому правоохранитель применил табельное оружие. ",1,,,7,4,,,Пост,,,,,,,,,,,,,,,,,
2022-01-11,14:23:00,www.news29.ru,В 2022 году жители Поморья могут воспользоваться шестью новыми онлайн-сервисами,"Северяне с 2022 года смогут в онлайн-режиме подать документы в понравившийся вуз, записать ребенка, оформить временную регистрацию по месту пребывания, а также оформить цифровое свидетельство о браке. ",0,,,0,0,,,Пост,,,,,,,,,,,,,,,,,
2022-01-11,14:02:00,www.news29.ru,На архангельский жд-вокзал прибыл поезд с Дедом Морозом ,"До 17:30 на железнодорожном вокзале Архангельска будет стоять поезд Деда Мороза. Для юных горожан предусмотрена развлекательная программа, часть вагонов можно будет посетить бесплатно, а часть — по билетам от 2 тысяч рублей. ",0,,,4,309,,,Пост,,,,,,,,,,,,,,,,,
2022-01-11,13:47:00,www.news29.ru,По итогам 2021 года очереди в архангельские детские сады сократились почти на 40%,"На данный момент в очереди для направления в детские сады в Архангельске зарегистрированы 3 528 детей, что ниже показателей 2020 года на 2 027 детей.",1,,,0,1,,,Пост,,,,,,,,,,,,,,,,,
2022-01-11,13:06:00,www.news29.ru,Неизвестный пожаловался президенту России на ведьм в архангельском парке,"Перед новогодними праздниками в Петровском парке были установлены десятки световых фигур. Были среди них и ведьмы, что возмутило неизвестного горожанина, который пожаловался на это президенту, при этом допустив ряд ошибок. ",2,,,8,3,,,Пост,,,,,,,,,,,,,,,,,
2022-01-11,14:16:00,www.news29.ru,Юг Архангельской области с Санкт-Петербургом вновь свяжет регулярное авиасообщение,В феврале откроется регулярное авиасообщение между Котласом и Петербургом. Росавиация включила данное направление в список субсидируемых маршрутов. Рейсы будут выполняться два раза в неделю.,2,,,2,2,,,Пост,,,,,,,,,,,,,,,,,
2022-01-11,11:43:00,www.news29.ru,Омикрон-штамм коронавируса пока не добрался до Архангельской области,"Об этом заявили в областном управлении Роспотребнадзора. В регионе продолжает циркулировать дельта-штамм, который на данный момент является основным. ",0,,,0,1,,,Пост,,,,,,,,,,,,,,,,,
2022-01-11,11:59:00,www.news29.ru,На «ART.Line2» заканчивают кладку стен 5-го этажа,Первый «артистичный» жилой комплекс Группы Аквилон в Архангельске строится на пр. Ломоносова межу ул. Володарского и ул. Серафимовича.,0,,,3,3,,,Пост,,,,,,,,,,,,,,,,,
2022-01-11,10:39:00,www.news29.ru,Житель Онежского района отделался «условкой» за истязание дочери,"Более трех лет мужчина жестоко обращался со своей старшей дочерью, а также угрожал ей убийством. Правоохранители узнали о насилии после того, как девочка сбежала из дома. ",0,,,0,0,,,Пост,,,,,,,,,,,,,,,,,
2022-01-11,10:00:00,www.news29.ru,Стриптизер из Архангельска пришел за невестой на Первый канал,"В очередном выпуске программы «Давай поженимся» за сердце невесты боролся архангелогородец Юрий. Себя он представил, как последнего стриптизера из столицы Поморья. 39-летняя Ольга не смогла устоять перед его стрип-шоу. ",1,,,4,210,,,Пост,,,,,,,,,,,,,,,,,
2022-01-11,9:24:00,www.news29.ru,Новодвинка зарезала брата за показанный «кукиш»,"Конфликт брата и сестры 1 января закончился убийством. Мужчина отказался освободить стул по просьбе женщины. В ответ в порыве гнева она ударила его ножом, но убивать не хотела. Возбуждено уголовное дело. ",0,,,0,0,,,Пост,,,,,,,,,,,,,,,,,
2022-01-12,21:10:00,www.news29.ru,Информация о минировании двух зданий в Архангельске не подтвердилась,Сообщения о минировании Арбитражного суда и мэрии Архангельска оказались ложными. Объекты были оперативно обследованы специалистами и продолжили работу в обычном режиме. ,0,,,0,0,,,Пост,,,,,,,,,,,,,,,,,
2022-01-12,16:20:00,www.news29.ru,Сильный снег и ветер обещают синоптики в Архангельской области 13 января,"Завтра, 13 января, в Поморье ожидается усиление ветра порывами до 20 метров в секунду, а также сильный снег и метель. ",0,,,0,0,,,Пост,,,,,,,,,,,,,,,,,
2022-01-12,15:53:00,www.news29.ru,На Соловках увеличилось поголовье лосей: животные разгуливают по поселку,"Если в Архангельске жители встревожены появлением волков, то на Соловках другая беда. Лоси заходят прямо во дворы домов, хозяйничают в Ботаническом саду. ",1,,,0,1,,,Пост,,,,,,,,,,,,,,,,,
2022-01-12,14:46:00,www.news29.ru,В Архангельске из-за анонимных сообщений о минировании эвакуированы суд и мэрия,"В России 12 января произошла очередная волна эвакуаций. В Екатеринбурге из-за анонимных сообщений о минировании эвакуировали более 150 школ, в Архангельске в данный момент обследуют суд и мэрию. ",0,,,0,0,,,Пост,,,,,,,,,,,,,,,,,
2022-01-12,14:16:00,www.news29.ru,Оперштаб фиксирует плавный подъем суточной заболеваемости ковидом в Поморье,"10 января в Архангельской области завершилось снижение заболеваемости ковидом, после начался плавный подъем. 12 января выявили 154 случая инфицирования, это больше, чем накануне и днем ранее. ",0,,,0,0,,,Пост,,,,,,,,,,,,,,,,,
2022-01-12,13:51:00,www.news29.ru,Систему здравоохранения Архангельской области готовят к «ковидному шторму»,"Власти Архангельской области принимают меры в связи с возможностью подъема заболеваемости коронавирусом. Готовится к запуску завод по производству сжиженного кислорода, также закуплены 4 промышленных кислородных концентратора.",0,,,5,3,,,Пост,,,,,,,,,,,,,,,,,
2022-01-12,13:24:00,www.news29.ru,В Архангельске на системной основе начали чистить внутриквартальные проезды,"Почти 4 млн рублей выделено на зимнее содержание внутриквартальных проездов в столице Поморья. Этим будет заниматься компания «Ава-Групп», которая уже приступила к своим обязанностям. ",1,,,2,6,,,Пост,,,,,,,,,,,,,,,,,
2022-01-12,11:46:00,www.news29.ru,Пойманный на взятке глава Сольвычегодска «заработал» 400 тысяч на госконтракте,Руководитель муниципалитета получил от предпринимателя мзду в размере половины прибыли от работ в рамках госконтракта по обустройству тротуаров. Сегодня утром чиновник был задержан правоохранителями.,0,,,1,0,,,Пост,,,,,,,,,,,,,,,,,
2022-01-12,11:11:00,www.news29.ru,В Котласском районе продолжаются чистки чиновников-коррупционеров,"По подозрению в коррупции задержан глава Сольвычегодска Андрей Сергеев. Муниципальное образование чиновник возглавляет с 2012 года, осенью прошлого года он был переизбран на новый срок. ",1,,,2,0,,,Пост,,,,,,,,,,,,,,,,,
2022-01-12,13:45:00,www.news29.ru,Ленд-лиз: правда и пропаганда 2-го фронта,"14 января в 15 часов в Архангельской областной научной библиотеке им. Н. А. Добролюбова (отдел краеведения «Русский север», 4-й этаж) состоится круглый стол на тему «Ленд-лиз: правда и пропаганда 2-го фронта».",0,,,0,153,,,Пост,,,,,,,,,,,,,,,,,
2022-01-12,10:17:00,www.news29.ru,Три представляющих Поморье лыжника отправятся на Олимпиаду в Пекин,"Александр Большунов, Наталья Непряева и Александр Терентьев поедут на пекинскую Олимпиаду в составе сборной команды России по лыжным гонкам. Сейчас спортсменам предстоит усиленная подготовка к главному старту четырехлетия. ",0,,,3,1,,,Пост,,,,,,,,,,,,,,,,,
